tag,class,id,text,link,sentiment
div,header-top,,All India Trinamool Congress,,Neutral
div,container-fluid,,All India Trinamool Congress,,Neutral
a,logo,,All India Trinamool Congress,https://aitcofficial.org,Neutral
span,,,All India Trinamool Congress,,Neutral
div,header-bottom,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",,Neutral
div,container-fluid,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",,Neutral
div,nav-area,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",,Neutral
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-6727,menu-item-6727,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation",,Positive
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6728,menu-item-6728,About the Party,,Neutral
a,,,About the Party,https://aitcofficial.org/the-party/,Neutral
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6731,menu-item-6731,"Maa, Mati, Manush",,Neutral
a,,,"Maa, Mati, Manush",https://aitcofficial.org/maa-mati-manush/,Neutral
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6729,menu-item-6729,12 Challenging Years,,Positive
a,,,12 Challenging Years,https://aitcofficial.org/12-challenging-years/,Positive
