tag,class,id,text,link
div,header-top,,All India Trinamool Congress,
div,container-fluid,,All India Trinamool Congress,
a,logo,,All India Trinamool Congress,https://aitcofficial.org
span,,,All India Trinamool Congress,
div,header-bottom,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",
div,container-fluid,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",
div,nav-area,,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation Chairperson Biography Publications Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha Candidates with Criminal Antecedents Assembly Rajya Sabha Lok Sabha Media Press Releases Jago Bangla Contact Us DONATE Rest of India Assam Gallery Press Release Tripura Gallery Press Release Meghalaya Gallery Press Release Goa Gallery Press Release SEARCH",
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-6727,menu-item-6727,"Vision About the Party Maa, Mati, Manush 12 Challenging Years Party Constitution Our Martyrs Manifesto District & Block Committee Frontal Organisation",
a,,,Vision,https://aitcofficial.org#
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6728,menu-item-6728,About the Party,
a,,,About the Party,https://aitcofficial.org/the-party/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6731,menu-item-6731,"Maa, Mati, Manush",
a,,,"Maa, Mati, Manush",https://aitcofficial.org/maa-mati-manush/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6729,menu-item-6729,12 Challenging Years,
a,,,12 Challenging Years,https://aitcofficial.org/12-challenging-years/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-6730,menu-item-6730,Party Constitution,
a,,,Party Constitution,https://aitcofficial.org/party-constitution/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-6734,menu-item-6734,Our Martyrs,
a,,,Our Martyrs,http://aitcofficial.org/our-martyrs/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-6736,menu-item-6736,Manifesto,
a,,,Manifesto,http://aitcofficial.org/manifesto/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-135029,menu-item-135029,District & Block Committee,
a,,,District & Block Committee,https://aitcofficial.org/?page_id=135016
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-203514,menu-item-203514,Frontal Organisation,
a,,,Frontal Organisation,http://aitcofficial.org/wp-content/uploads/2022/11/frontal-organisation.pdf
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-6737,menu-item-6737,Chairperson Biography Publications,
a,,,Chairperson,https://aitcofficial.org#
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-14755,menu-item-14755,Biography,
a,,,Biography,https://aitcofficial.org/biography/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-6739,menu-item-6739,Publications,
a,,,Publications,http://aitcofficial.org/publications-by-didi
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-9345,menu-item-9345,Governance Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery Achievements Budget Releases Elected Members Administrative Calendar AITC in Rajya Sabha AITC in Lok Sabha,
a,,,Governance,https://aitcofficial.org#
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-has-children menu-item-213541,menu-item-213541,Trinamoole Nabo Jowar Vision State Election Committee Zonal Election Committee Press Release Gallery,
a,,,Trinamoole Nabo Jowar,https://aitcofficial.org#
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-213548,menu-item-213548,Vision,
a,,,Vision,https://aitcofficial.org/tnj-vision/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-213549,menu-item-213549,State Election Committee,
a,,,State Election Committee,http://aitcofficial.org/wp-content/uploads/2023/04/State-Election-Committee.pdf
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-213550,menu-item-213550,Zonal Election Committee,
a,,,Zonal Election Committee,http://aitcofficial.org/wp-content/uploads/2023/04/Zonal-Division.pdf
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-213619,menu-item-213619,Press Release,
a,,,Press Release,https://aitcofficial.org/tnj-press-release/
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-213620,menu-item-213620,Gallery,
a,,,Gallery,https://aitcofficial.org/tnj-gallery/
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9347,menu-item-9347,Achievements,
a,,,Achievements,http://aitcofficial.org/achievements
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9348,menu-item-9348,Budget Releases,
a,,,Budget Releases,http://aitcofficial.org/budget
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9349,menu-item-9349,Elected Members,
a,,,Elected Members,http://aitcofficial.org/elected-member
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-9350,menu-item-9350,Administrative Calendar,
a,,,Administrative Calendar,http://aitcofficial.org/admin_calendar/
li,menu-item menu-item-type-taxonomy menu-item-object-category menu-item-9352,menu-item-9352,AITC in Rajya Sabha,
a,,,AITC in Rajya Sabha,https://aitcofficial.org/category/parliament/in-parliament-rajya-sabha/
li,menu-item menu-item-type-taxonomy menu-item-object-category menu-item-9353,menu-item-9353,AITC in Lok Sabha,
a,,,AITC in Lok Sabha,https://aitcofficial.org/category/parliament/in-parliament-lok-sabha/
